Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Airtel Zambia;SZM0160_SINAZONGWE;SZM0160_SINAZONGWE | Southern;AAZM-SZM0160_SINAZONGWE;SZM0160_SINAZONGWE;Priority_5;Southern;SRAN;Southern;Nokia;Flexi MultiRadio BTS;;AAZM-ZM0160;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;GLZM0113;GLZM0113 | Lusaka;AAZM-GLZM0113;GLZM0113;Priority_5;Lusaka;SRAN;Lusaka;Ericsson;SBTS-Ericsson;;AAZM-ZM0113;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM3230;LZM3230 | Lusaka South;AAZM-LZM3230;LZM3230;Priority_5;Lusaka South;4G;Lusaka South;Ericsson;eNodeB-Ericsson;;AAZM-ZM3230;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;LZM6795_WZM6795_CEC_KABOMPO_HYDRO;LZM6795_WZM6795_CEC_KABOMPO_HYDRO | North Western;AAZM-LZM6795_WZM6795_CEC_KABOMPO_HYDRO;LZM6795_WZM6795_CEC_KABOMPO_HYDRO;Priority_5;North Western;4G;North Western;Nokia;eNodeB-Nokia;;AAZM-ZM6795;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;WZM0123_2;WZM0123_2 | Lusaka South;AAZM-WZM0123_2;WZM0123_2;Priority_5;Lusaka South;SRAN;Lusaka South;Ericsson;SBTS-Ericsson;;AAZM-ZM0123;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;GWZM6421;GWZM6421 | Northern;AAZM-GWZM6421;GWZM6421;Priority_5;Northern;SRAN;Northern;Ericsson;SBTS-Ericsson;;AAZM-ZM6421;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WZM6593_KANYANGILI_MTN;WZM6593_KANYANGILI_MTN | North Western;AAZM-WZM6593_KANYANGILI_MTN;WZM6593_KANYANGILI_MTN;Priority_5;North Western;3G;North Western;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6593;RAN;WCDMA/UMTS (3G);NodeB;KTWRN12;;Deployed;;
Airtel Zambia;SZM3576-MUYOMBE-RPT-B;SZM3576-MUYOMBE-RPT-B | Eastern;AAZM-SZM3576-MUYOMBE-RPT-B;SZM3576-MUYOMBE-RPT-B;Priority_5;Eastern;SRAN;Eastern;Nokia;Flexi MultiRadio BTS;;AAZM-ZM3576;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;WZM6074_MUYOBE;WZM6074_MUYOBE | Southern;AAZM-WZM6074_MUYOBE;WZM6074_MUYOBE;Priority_5;Southern;3G;Southern;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6074;RAN;WCDMA/UMTS (3G);NodeB;WTCRN13;;Deployed;;
Airtel Zambia;LZM0513_4337_T3407_Kandemba_School;LZM0513_4337_T3407_Kandemba_School | North Western;AAZM-LZM0513_4337_T3407_Kandemba_School;LZM0513_4337_T3407_Kandemba_School;Priority_5;North Western;4G;North Western;Nokia;eNodeB-Nokia;;AAZM-ZM0513;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;GLZM6736;GLZM6736 | Lusaka South;AAZM-GLZM6736;GLZM6736;Priority_5;Lusaka South;SRAN;Lusaka South;Ericsson;SBTS-Ericsson;;AAZM-ZM6736;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;GLZM0982;GLZM0982 | Lusaka South;AAZM-GLZM0982;GLZM0982;Priority_5;Lusaka South;SRAN;Lusaka South;Ericsson;SBTS-Ericsson;;AAZM-ZM0982;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;GLZM0084;GLZM0084 | Lusaka;AAZM-GLZM0084;GLZM0084;Priority_5;Lusaka;SRAN;Lusaka;Ericsson;SBTS-Ericsson;;AAZM-ZM0084;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;GWZM3367;GWZM3367 | Luapula;AAZM-GWZM3367;GWZM3367;Priority_5;Luapula;SRAN;Luapula;Ericsson;SBTS-Ericsson;;AAZM-ZM3367;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WLZM0515;WLZM0515 | Lusaka;AAZM-WLZM0515;WLZM0515;Priority_5;Lusaka;SRAN;Lusaka;Ericsson;SBTS-Ericsson;;AAZM-ZM0515;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;SZM3404_KIKONGE;SZM3404_KIKONGE | North Western;AAZM-SZM3404_KIKONGE;SZM3404_KIKONGE;Priority_5;North Western;SRAN;North Western;Nokia;Flexi MultiRadio BTS;;AAZM-ZM3404;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;GZM3425;GZM3425 | Northern;AAZM-GZM3425;GZM3425;Priority_5;Northern;SRAN;Northern;Ericsson;SBTS-Ericsson;;AAZM-ZM3425;RAN;Multi Techno;SingleRAN;;;Deployed;;
