Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Zambia;AAZM-ZM6037;ZM6037;FORMERKALUMIN;North Western;North Western;;Zambia;North Western;-12.273861;25.37925;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6042;AAZM-ZM6042;MUCHABI_AGRIC;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.45;27.28333;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6042;MUCHABI_AGRIC;MUCHABI_AGRIC;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.45;27.28333;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6042;ZM6042;MUCHABI_AGRIC;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.45;27.28333;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6045;AAZM-ZM6045;LAUGHING_WATERS;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.3709;28.17784;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6045;LAUGHING_WATERS;LAUGHING_WATERS;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.3709;28.17784;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6045;WZM6045A;LAUGHING_WATERS;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.3709;28.17784;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6045;WZM6045B;LAUGHING_WATERS;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.3709;28.17784;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6045;WZM6045C;LAUGHING_WATERS;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.3709;28.17784;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6045;ZM6045;LAUGHING_WATERS;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.3709;28.17784;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6048;AAZM-ZM6048;CHIEFMUKUMBI;North Western;North Western;;Zambia;North Western;-12.08731;25.771349;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6048;CHIEFMUKUMBI;CHIEFMUKUMBI;North Western;North Western;;Zambia;North Western;-12.08731;25.771349;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6048;ZM6048;CHIEFMUKUMBI;North Western;North Western;;Zambia;North Western;-12.08731;25.771349;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6051;AAZM-ZM6051;ZZNAMBANDA1Z;Western;Western;;Zambia;Western;-15.466611;23.5703888;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6051;NAMBANDA1Z;ZZNAMBANDA1Z;Western;Western;;Zambia;Western;-15.466611;23.5703888;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6051;ZM6051;ZZNAMBANDA1Z;Western;Western;;Zambia;Western;-15.466611;23.5703888;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6051;ZZNAMBANDA1Z;ZZNAMBANDA1Z;Western;Western;;Zambia;Western;-15.466611;23.5703888;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6053;AAZM-ZM6053;KASUBA;Luapula;Luapula;;Zambia;Luapula;-10.763873;29.584049;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6053;KASUBA;KASUBA;Luapula;Luapula;;Zambia;Luapula;-10.763873;29.584049;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6053;ZM6053;KASUBA;Luapula;Luapula;;Zambia;Luapula;-10.763873;29.584049;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6056;AAZM-ZM6056;KASABA_MISSION;Luapula;Luapula;;Zambia;Luapula;-10.747304;29.7165981;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6056;KASABA_MISSION;KASABA_MISSION;Luapula;Luapula;;Zambia;Luapula;-10.747304;29.7165981;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6056;ZM6056;KASABA_MISSION;Luapula;Luapula;;Zambia;Luapula;-10.747304;29.7165981;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6062;AAZM-ZM6062;MUOYO;Western;Western;;Zambia;Western;-15.57655;23.25739;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6062;MUOYO;MUOYO;Western;Western;;Zambia;Western;-15.57655;23.25739;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6062;ZM6062;MUOYO;Western;Western;;Zambia;Western;-15.57655;23.25739;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6066;AAZM-ZM6066;CHIEFNYAWA;Southern;Southern;;Zambia;Southern;-17.18333;25.9;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6066;CHIEF NYAWA_15;CHIEFNYAWA;Southern;Southern;;Zambia;Southern;-17.18333;25.9;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6066;CHIEFNYAWA;CHIEFNYAWA;Southern;Southern;;Zambia;Southern;-17.18333;25.9;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6066;ZM6066;CHIEFNYAWA;Southern;Southern;;Zambia;Southern;-17.18333;25.9;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6070;AAZM-ZM6070;NAMAKONDONDO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.719161;28.2558611;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6070;NAMAKONDONDO;NAMAKONDONDO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.719161;28.2558611;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6070;ZM6070;NAMAKONDONDO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.719161;28.2558611;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6073;AAZM-ZM6073;SIMAUBI;Southern;Southern;;Zambia;Southern;-16.257722;26.8331944;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6073;SIMAUBI;SIMAUBI;Southern;Southern;;Zambia;Southern;-16.257722;26.8331944;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6073;ZM6073;SIMAUBI;Southern;Southern;;Zambia;Southern;-16.257722;26.8331944;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6075;AAZM-ZM6075;NALUBE;Southern;Southern;;Zambia;Southern;-16.097444;27.6663055;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6075;NALUBE;NALUBE;Southern;Southern;;Zambia;Southern;-16.097444;27.6663055;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6075;ZM6075;NALUBE;Southern;Southern;;Zambia;Southern;-16.097444;27.6663055;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6078;3G_MUNGULE;MUNGULE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.2176;28.1566;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6078;AAZM-ZM6078;MUNGULE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.2176;28.1566;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6078;MUNGULE;MUNGULE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.2176;28.1566;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6078;ZM6078;MUNGULE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.2176;28.1566;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6081;AAZM-ZM6081;KABANANA_STH_RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.352899;28.2908699;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6081;KABANANA_STH_RF;KABANANA_STH_RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.352899;28.2908699;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6081;ZM6081;KABANANA_STH_RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.352899;28.2908699;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6082;AAZM-ZM6082;KANYAMA_WEST1RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41694;28.23264;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6082;KANYAMA_WEST1RF;KANYAMA_WEST1RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41694;28.23264;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6082;WZM6082A;KANYAMA_WEST1RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41694;28.23264;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6082;WZM6082B;KANYAMA_WEST1RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41694;28.23264;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6082;WZM6082C;KANYAMA_WEST1RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41694;28.23264;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6082;ZM6082;KANYAMA_WEST1RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41694;28.23264;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6083;AAZM-ZM6083;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6083;KANYAMA_W2RLF;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6083;KANYAMA_WEST2RF;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6083;WZM6083A;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6083;WZM6083B;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6083;WZM6083C;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6083;ZM6083;KANYAMA_WEST2RF;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.432476;28.244762;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6084;AAZM-ZM6084;MATERO_ODYYS2;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.372556;28.263;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6084;MATERO_ODYYS2;MATERO_ODYYS2;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.372556;28.263;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6084;WZM6084A;MATERO_ODYYS2;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.372556;28.263;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6084;WZM6084B;MATERO_ODYYS2;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.372556;28.263;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6084;WZM6084C;MATERO_ODYYS2;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.372556;28.263;;Outdoor;;1;;Enabled
