Company;CI Name;Site;Region;Site Group;CI Description;DNS Host Name;System Role;Product Name;Tier 1;Tier 2;Tier 3;Manufacturer;Model Version;Additional Information;Tag Number;CI ID;NbrCells;Domain;Status;Reconciliation Identity;Priority
Vodacom TZ;Msambeta_U900-3G;VTZ-5036;Coastal;Coastal;Msambeta_U900-3G | Coastal;Msambeta_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO2;;3;VTZ-Msambeta_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Kibamba_6S_1190-3G;VTZ-753;Coastal;Coastal;Kibamba_6S_1190-3G | Coastal;Kibamba_6S_1190-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA1;;9;VTZ-Kibamba_6S_1190-3G;Deployed;;PRIORITY_5
Vodacom TZ;Ramada Hotel_12-3G;VTZ-112;Coastal;Coastal;Ramada Hotel_12-3G | Coastal;Ramada Hotel_12-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA1;;2;VTZ-Ramada Hotel_12-3G;Deployed;;PRIORITY_5
Vodacom TZ;Ushetu_Kisuke-2G;VTZ-4195;Lake;Lake;Ushetu_Kisuke-2G | Lake;Ushetu_Kisuke-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSKH1;;0;VTZ-Ushetu_Kisuke-2G;Deployed;;PRIORITY_5
Vodacom TZ;Buhongwa_West_L700-4G;VTZ-4854;Lake;Lake;Buhongwa_West_L700-4G | Lake;Buhongwa_West_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Buhongwa_West_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Peninsula_House_IBS-2G;VTZ-1238;Coastal;Coastal;Peninsula_House_IBS-2G | Coastal;Peninsula_House_IBS-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSDA1;;1;VTZ-Peninsula_House_IBS-2G;Deployed;;PRIORITY_5
Vodacom TZ;Ruaha_Mbuyuni_U900-3G;VTZ-6393;Southern;Southern;Ruaha_Mbuyuni_U900-3G | Southern;Ruaha_Mbuyuni_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO3;;9;VTZ-Ruaha_Mbuyuni_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Morogoro1_6S_2006-3G;VTZ-902;Coastal;Coastal;Morogoro1_6S_2006-3G | Coastal;Morogoro1_6S_2006-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO3;;9;VTZ-Morogoro1_6S_2006-3G;Deployed;;PRIORITY_5
Vodacom TZ;Nyasaka2_L700-4G;VTZ-4911;Lake;Lake;Nyasaka2_L700-4G | Lake;Nyasaka2_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Nyasaka2_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Mabira_U900-3G;VTZ-4188;Lake;Lake;Mabira_U900-3G | Lake;Mabira_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Mabira_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Ndoleji_HTT_U900-3G;VTZ-4766;Lake;Lake;Ndoleji_HTT_U900-3G | Lake;Ndoleji_HTT_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO2;;3;VTZ-Ndoleji_HTT_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Chiwanda_HTT-4G;VTZ-1972;Coastal;Coastal;Chiwanda_HTT-4G | Coastal;Chiwanda_HTT-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Chiwanda_HTT-4G;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Njombe;VTZ-6031;Southern;Southern;LTE_Njombe | LTE_TDD | VTZ-6031;LTE_Njombe;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Njombe;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Tegeta;VTZ-1070;Coastal;Coastal;LTE_Tegeta | LTE_TDD | VTZ-1070;LTE_Tegeta;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Tegeta;Deployed;;PRIORITY_5
Vodacom TZ;Nsunga_U900-3G;VTZ-4085;Lake;Lake;Nsunga_U900-3G | Lake;Nsunga_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Nsunga_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Nyegezi_MGW-3G;VTZ-4280;Lake;Lake;Nyegezi_MGW-3G | Lake;Nyegezi_MGW-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW2;;9;VTZ-Nyegezi_MGW-3G;Deployed;;PRIORITY_5
Vodacom TZ;Majita_Sec0_RH-2G;VTZ-4158;Lake;Lake;Majita_Sec0_RH-2G | Lake;Majita_Sec0_RH-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBT1;;4;VTZ-Majita_Sec0_RH-2G;Deployed;;PRIORITY_5
Vodacom TZ;NSSF_KALOLENI_IBS-3G;VTZ-3102;Kili;Kili;NSSF_KALOLENI_IBS-3G | Kili;NSSF_KALOLENI_IBS-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNAR2;;6;VTZ-NSSF_KALOLENI_IBS-3G;Deployed;;PRIORITY_5
Vodacom TZ;Rujewa_Town_L700-4G;VTZ-6204;Southern;Southern;Rujewa_Town_L700-4G | Southern;Rujewa_Town_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Rujewa_Town_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Ushirika_IBS-3G;VTZ-1234;Coastal;Coastal;Ushirika_IBS-3G | Coastal;Ushirika_IBS-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA5;;9;VTZ-Ushirika_IBS-3G;Deployed;;PRIORITY_5
Vodacom TZ;Nungwe_U900-3G;VTZ-4547;Lake;Lake;Nungwe_U900-3G | Lake;Nungwe_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Nungwe_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Kitila_HTT-3G;VTZ-4650;Lake;Lake;Kitila_HTT-3G | Lake;Kitila_HTT-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW1;;9;VTZ-Kitila_HTT-3G;Deployed;;PRIORITY_5
Vodacom TZ;Haubi_Airtel_U900-3G;VTZ-5229;Coastal;Coastal;Haubi_Airtel_U900-3G | Coastal;Haubi_Airtel_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO2;;3;VTZ-Haubi_Airtel_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Mbalizi_L700-4G;VTZ-6024;Southern;Southern;Mbalizi_L700-4G | Southern;Mbalizi_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Mbalizi_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Uhuru_Heights_IBS-3G;VTZ-1232;Coastal;Coastal;Uhuru_Heights_IBS-3G | Coastal;Uhuru_Heights_IBS-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA5;;9;VTZ-Uhuru_Heights_IBS-3G;Deployed;;PRIORITY_5
Vodacom TZ;Quality_Plaza_IBS-3G;VTZ-1412;Coastal;Coastal;Quality_Plaza_IBS-3G | Coastal;Quality_Plaza_IBS-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA4;;6;VTZ-Quality_Plaza_IBS-3G;Deployed;;PRIORITY_5
Vodacom TZ;HillFrontHotel-3G;VTZ-4405;Lake;Lake;HillFrontHotel-3G | Lake;HillFrontHotel-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW2;;9;VTZ-HillFrontHotel-3G;Deployed;;PRIORITY_5
Vodacom TZ;Riloda_Airtel-2G;VTZ-3399;Kili;Kili;Riloda_Airtel-2G | Kili;Riloda_Airtel-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBB1;;0;VTZ-Riloda_Airtel-2G;Deployed;;PRIORITY_5
Vodacom TZ;Vwawa_Market_6S_6226-3G;VTZ-795;Southern;Southern;Vwawa_Market_6S_6226-3G | Southern;Vwawa_Market_6S_6226-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMB1;;9;VTZ-Vwawa_Market_6S_6226-3G;Deployed;;PRIORITY_5
Vodacom TZ;Uzunguni_Mbeya_L700-4G;VTZ-6489;Southern;Southern;Uzunguni_Mbeya_L700-4G | Southern;Uzunguni_Mbeya_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Uzunguni_Mbeya_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Igurwa_HTT_U900-3G;VTZ-4522;Lake;Lake;Igurwa_HTT_U900-3G | Lake;Igurwa_HTT_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Igurwa_HTT_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Itobo_U900-3G;VTZ-5178;Lake;Lake;Itobo_U900-3G | Lake;Itobo_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO2;;3;VTZ-Itobo_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Iselamagazi_U90-3G;VTZ-4381;Lake;Lake;Iselamagazi_U90-3G | Lake;Iselamagazi_U90-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW2;;3;VTZ-Iselamagazi_U90-3G;Deployed;;PRIORITY_5
