Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Uganda;AAUG-WE2348;Ruhinda;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2348;WE2348;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2343;AAUG-WE2343;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2343;Nakatete;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2343;WE2343;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2345;AAUG-WE2345;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2345;Kitwe;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2345;WE2345;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2347;AAUG-WE2347;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2347;Rutoto-Airtel;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2347;WE2347;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2351;AAUG-WE2351;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2351;Kikungura;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2351;WE2351;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2356;AAUG-WE2356;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2356;Butiti-ATL;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2356;WE2356;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2366;AAUG-WE2366;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2366;Kasule;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2366;WE2366;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5393;EA5393;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4357A;AAUG-NO4357A;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4241;AAUG-NO4241;;North;North;;Uganda;North;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2534;AAUG-WE2534;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5393;AAUG-EA5393;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-EA5408;AAUG-EA5408;;East;East;;Uganda;East;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4309;AAUG-NO4309;;North;North;;Uganda;North;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4310;AAUG-NO4310;;North;North;;Uganda;North;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4241;NO4241;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4334;AAUG-NO4334;;North;North;;Uganda;North;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4327A;AAUG-NO4327A;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4334;NO4334;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2534;WE2534;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-EA5408;EA5408;;East;East;;Uganda;East;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4310;NO4310;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4309;NO4309;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2368;AAUG-WE2368;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2368;Rwashamire_b;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2368;WE2368;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2374;AAUG-WE2374;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2374;Ngege;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2374;WE2374;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2375;Kisomoro;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2375;WE2375;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2376;Bugongi;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2376;WE2376;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2414;Bunagana;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2414;WE2414;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-UG4169;AAUG-UG4169;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-UG4169;UG4169;;Uganda;Uganda;;Uganda;Uganda;;;;;;1;;Enabled
Airtel Uganda;AAUG-UG4170;AAUG-UG4170;;Uganda;Uganda;;Uganda;Uganda;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2419;Ssekanyonyi;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2419;WE2419;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2375;AAUG-WE2375;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2376;AAUG-WE2376;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2414;AAUG-WE2414;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2419;AAUG-WE2419;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-NO4202;Langi;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4202;NO4202;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2095;WE2095;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2099;WE2099;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2108;OUL_Kebisoni;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4202;AAUG-NO4202;;North;North;;Uganda;North;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2095;AAUG-WE2095;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2099;AAUG-WE2099;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2108;AAUG-WE2108;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2095;MUBENDEHILL;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2095;Mubende Hill ;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2099;OUL_Bukuya ;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4295;NO4295;;North;North;;Uganda;North;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2167;AAUG-WE2167;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-WE2108;WE2108;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-NO4295;AAUG-NO4295;;North;North;;Uganda;North;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2167;LYANTONDE;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2167;LYANTONDE-3G;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2167;LYANTONDE-4G;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2167;LYANTONDE_TOWN;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2167;LYANTONDE_TOWN-3G;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2167;Lyantonde_Ext ;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2167;WE2167;;West;West;;Uganda;West;-0.4049;31.14402;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2111;AAUG-WE2111;;West;West;;Uganda;West;-0.0907;31.4558;;Outdoor;;0;;Enabled
Airtel Uganda;AAUG-WE2111;OUL_Sembabule;;West;West;;Uganda;West;-0.0907;31.4558;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2111;WE2111;;West;West;;Uganda;West;-0.0907;31.4558;;Outdoor;;1;;Enabled
Airtel Uganda;AAUG-WE2115;AAUG-WE2115;;West;West;;Uganda;West;;;;;;0;;Enabled
Airtel Uganda;AAUG-WE2115;Kyankowe ;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2115;WE2115;;West;West;;Uganda;West;;;;;;1;;Enabled
Airtel Uganda;AAUG-WE2116;AAUG-WE2116;;West;West;;Uganda;West;;;;;;0;;Enabled
