Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Capita TfL GB;PCN-D101-HCU-ZDC6-M2;PCN-D101-HCU-ZDC6-M2 | Sector 1 | Platform 3;TFLGB-PCN-D101-HCU-ZDC6-M2;PCN-D101-HCU-ZDC6-M2;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Platform 3;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 1;;Deployed;;
Capita TfL GB;PCN-J011-HCU-ZDC2-M;PCN-J011-HCU-ZDC2-M | Sector 20 | Platform 1;TFLGB-PCN-J011-HCU-ZDC2-M;PCN-J011-HCU-ZDC2-M;Priority_5;London;HCU;Bermondsey;SOLiD;SOLiD HCU;Platform 1;TFLGB-J011;RAN;Multi Techno;Repeater, Transcoder;Sector 20;;Deployed;;
Capita TfL GB;PCN-J011-LRN-39M;PCN-J011-LRN-39M | Sector 20 | Platform 1;TFLGB-PCN-J011-LRN-39M;PCN-J011-LRN-39M;Priority_5;London;LRN;Bermondsey;SOLiD;SOLiD LRN;Platform 1;TFLGB-J011;RAN;Multi Techno;Repeater, Transcoder;Sector 20;;Deployed;;
Capita TfL GB;PCN-J007-HCU-ZDC4-M;PCN-J007-HCU-ZDC4-M | Sector 27 | Platform 1;TFLGB-PCN-J007-HCU-ZDC4-M;PCN-J007-HCU-ZDC4-M;Priority_5;London;HCU;Canary Wharf;SOLiD;SOLiD HCU;Platform 1;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 27;;Deployed;;
Capita TfL GB;PCN-J018-J-WBLO-HRN-001M;PCN-J018-J-WBLO-HRN-001M | Sector 14 | West Tunnel;TFLGB-PCN-J018-J-WBLO-HRN-001M;PCN-J018-J-WBLO-HRN-001M;Priority_5;London;HRN;Southwark;SOLiD;SOLiD HRN;West Tunnel;TFLGB-J018;RAN;Multi Techno;Repeater, Transcoder;Sector 14;;Deployed;;
Capita TfL GB;PCN-D101-LRN-69M;PCN-D101-LRN-69M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-69M;PCN-D101-LRN-69M;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC13-M;PCN-D101-HCU-ZDC13-M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-ZDC13-M;PCN-D101-HCU-ZDC13-M;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J013-LRN-52S;PCN-J013-LRN-52S | Sector 10 | Platform 1;TFLGB-PCN-J013-LRN-52S;PCN-J013-LRN-52S;Priority_5;London;LRN;Southwark;SOLiD;SOLiD LRN;Platform 1;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 10;;Deployed;;
Capita TfL GB;PCN-J009-LRN-44S;PCN-J009-LRN-44S | Sector 24 | Ticket Hall_Escalator;TFLGB-PCN-J009-LRN-44S;PCN-J009-LRN-44S;Priority_5;London;LRN;Canada Water;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 24;;Deployed;;
Capita TfL GB;PCN-J013-LRN-47M;PCN-J013-LRN-47M | Sector 12 | Ticket Hall_Escalator;TFLGB-PCN-J013-LRN-47M;PCN-J013-LRN-47M;Priority_5;London;LRN;Southwark;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 12;;Deployed;;
Capita TfL GB;PCN-D101-LRN-4S;PCN-D101-LRN-4S | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-4S;PCN-D101-LRN-4S;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J009-LRN-69S;PCN-J009-LRN-69S | Sector 23 | Platform 1;TFLGB-PCN-J009-LRN-69S;PCN-J009-LRN-69S;Priority_5;London;LRN;Canada Water;SOLiD;SOLiD LRN;Platform 1;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 23;;Deployed;;
Capita TfL GB;PCN-D101-LRN-35M;PCN-D101-LRN-35M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-35M;PCN-D101-LRN-35M;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J024-J-EBLO-HRN-001S;PCN-J024-J-EBLO-HRN-001S | Sector 4 | East Tunnel;TFLGB-PCN-J024-J-EBLO-HRN-001S;PCN-J024-J-EBLO-HRN-001S;Priority_5;London;HRN;Westminster;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J024;RAN;Multi Techno;Repeater, Transcoder;Sector 4;;Deployed;;
Capita TfL GB;PCN-N115-LRN-100M;PCN-N115-LRN-100M | Sector 6 | Platform 5;TFLGB-PCN-N115-LRN-100M;PCN-N115-LRN-100M;Priority_5;London;LRN;Waterloo;SOLiD;SOLiD LRN;Platform 5;TFLGB-N115;RAN;Multi Techno;Repeater, Transcoder;Sector 6;;Deployed;;
Capita TfL GB;PCN-D101-LRN-34M;PCN-D101-LRN-34M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-34M;PCN-D101-LRN-34M;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
