Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
EMTS NG;B5579-B3650;B5579-B3650 | Ilorin;.;B5579-B3650;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5579;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4151-B4015;B4151-B4015 | Ibadan;.;B4151-B4015;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4151;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5583-B5584;B5583-B5584 | Ilorin;.;B5583-B5584;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-5583;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4119-B4148;B4119-B4148 | Ibadan;.;B4119-B4148;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4119;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4362-B4212;B4362-B4212 | Benin;.;B4362-B4212;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4362;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4207-B4210;B4207-B4210 | Benin;.;B4207-B4210;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4207;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3485-B3338;B3485-B3338 | Ibadan;.;B3485-B3338;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3485;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3445-B3363;B3445-B3363 | Ibadan;.;B3445-B3363;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3445;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4312-B4207;B4312-B4207 | Benin;.;B4312-B4207;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4312;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5511-B5510;B5511-B5510 | Ibadan;.;B5511-B5510;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5511;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4071-B4122;B4071-B4122 | Ibadan;.;B4071-B4122;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4071;Transmission;WTD/Microwave;Microwave;;;Deployed;;
