Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
EMTS NG;EMT-4108;EMT-4108;Accessible 24/7;Ibadan;Ibadan;10. Ogunyomi Str.. Ile Ise Awo. Off Lagos ? Abeokuta Expressway. Abeokuta. Ogun State;Nigeria;Ibadan;7.115567;3.296937;;;;;Enabled
EMTS NG;EMT-4112;EMT-4112;Accessible 24/7;Ibadan;Ibadan;Km 3 Aiyetoro Road Opposite Obasanjo Farms. Abeokuta. Ogun State;Nigeria;Ibadan;7.1663;3.30338;;;;;Enabled
EMTS NG;EMT-4153;EMT-4153;Accessible 24/7;Ibadan;Ibadan;Behind Coca Cola Ijebu-Ode. Ibadan Rd. Ijebu-Ode. Ogun State;Nigeria;Ibadan;6.85166;3.93815;;;;;Enabled
EMTS NG;EMT-4331;EMT-4331;Accessible 24/7;Benin;Benin;11 CHRIST CHOSEN ROAD.BENIN-AGBOR ROAD.IKPOBA HILL.BENIN CITY .EDO STATE;Nigeria;Benin;6.343768;5.707275;;;;;Enabled
EMTS NG;EMT-4332;EMT-4332;Accessible 24/7;Benin;Benin;Ikhunenro Community. Orhionmwon LGA Edo State;Nigeria;Benin;6.33419;5.72491;;;;;Enabled
EMTS NG;EMT-4333;EMT-4333;Accessible 24/7;Benin;Benin;25 Bob - Issah Street.off Aduwawa Road. Benin City;Nigeria;Benin;6.36076;5.6765;;;;;Enabled
EMTS NG;EMT-4154;EMT-4154;Accessible 24/7;Ibadan;Ibadan;Major Thomoson Junction. GRA. Shagamu. Ogun State;Nigeria;Ibadan;6.83683;3.63641;;;;;Enabled
EMTS NG;EMT-2790;EMT-2790;TBD;Lokoja;Lokoja;Jamata Village, Lokoja L.G.A, Lokoja, Kogi State;Nigeria;KOTON KARFE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2792;EMT-2792;TBD;Lokoja;Lokoja;Banda-Oworo Village, Via Lokoja-Abuja highway, Kogi;Nigeria;BANDA OWORO;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2794;EMT-2794;TBD;Lokoja;Lokoja;ANGWA BASA, ZARIAGI VILLAGE (UBOBO CLAN), BY KABBA JUNCTION, KOGI STATE.;Nigeria;ZONGON DAJI;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-4257;EMT-4257;Accessible 24/7;Benin;Benin;DEFIAGBON COMPOUND. ALONG SAPELE-BENIN EXPRESS ROAD. MOSUGAR DELTA STATE;Nigeria;Benin;5.90598;5.73077;;;;;Enabled
EMTS NG;EMT-4311;EMT-4311;Accessible 24/7;Benin;Benin;Osasenaga Street. before St. John Catholic Church. Useh Qtrs. Benin. Edo State;Nigeria;Benin;6.35314;5.57648;;;;;Enabled
EMTS NG;EMT-4098;EMT-4098;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;47 Hospital road Sagamu beside Sweet Taste Kitchen Ogun state. ;Nigeria;Ibadan;6.84401;3.65215;;;;;Enabled
EMTS NG;EMT-3954;EMT-3954;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;A Plot of Land near Path-Finder Private School Amosoela Street. off Mowe -Ofada Road Mowe. Ogun state;Nigeria;Ibadan;6.81978;3.43763;;;;;Enabled
EMTS NG;EMT-2796;EMT-2796;TBD;Lokoja;Lokoja;Abobo Village, Ubobo Clan, Okehi LGA, Kogi State;Nigeria;OKEHI;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2798;EMT-2798;TBD;Makurdi;Makurdi;Jovkyundan,Along Aliade-Gboko Road, Benue State;Nigeria;ENUGU-GBOKO RD;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2800;EMT-2800;TBD;Makurdi;Makurdi;Mbayion Village, Along Aliade-Gboko Road,Gboko,Benue State;Nigeria;ENUGU-GBOKO RD;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2802;EMT-2802;TBD;Lokoja;Lokoja;Site, Itakpe iron ore, Okene-Lokoja road, Itakpe. Kogi State ;Nigeria;ITAKPE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2805;EMT-2805;TBD;Onitsha;Onitsha;44, Ihochi Road, Ajaka, Igalamela LGA, Kogi State;Nigeria;IGALAMELA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2809;EMT-2809;TBD;Lokoja;Lokoja;Origa Kabba, along Kabba-Iyara Road, Kogi State;Nigeria;KABBA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-4013;EMT-4013;Accessible 24/7;Ibadan;Ibadan;A1/33 FEDERAL HOUSING ESTATE.IKOTO IJEBU ODE.OGUN STATE.;Nigeria;Ibadan;6.79075;3.94628;;;;;Enabled
EMTS NG;EMT-5660;EMT-5660;Accessible 24/7;Ilorin;Ilorin;Salami Orogho& sons Ventures Ltd. Opp. Watch Tower and Tract Society. Igieduma. Uhunwonde LGA Edo;Nigeria;Ilorin;7.30371;6.36488;;;;;Enabled
EMTS NG;EMT-5665;EMT-5665;Accessible 24/7;Benin;Benin;Olumiluwa .Off Lagos -Benin express Road Ore.Odigbo LGA Ondo LGA;Nigeria;Benin;6.75801;4.80981;;;;;Enabled
EMTS NG;EMT-5844;EMT-5844;Accessible 24/7;Ibadan;Ibadan;Plot at Kolobo area. Pakoyi.  Oyo West LG. Oyo State;Nigeria;Ibadan;7.85371;3.922;;;;;Enabled
EMTS NG;EMT-5959;EMT-5959;Restricted accessibility: Mo-Sat 8-17h;Benin;Benin;Agbor Park. Ikpoba Hill Benin City. Edo State;Nigeria;Benin;6.34708;5.68272;;;;;Enabled
EMTS NG;EMT-0330;EMT-0330;Accessible 24/7;Ilorin;Ilorin;No 1. Iboropa/Epinimi Junction. Ugbe Akoko. Ondo State;Nigeria;Ilorin;7.52783;5.786;;;;;Enabled
EMTS NG;EMT-0448;EMT-0448;Accessible 24/7;Benin;Benin;No 89. Osokpomba Road. Benin city. Edo State.;Nigeria;Benin;6.32542;5.63117;;;;;Enabled
EMTS NG;EMT-2131;EMT-2131;TBD;Port Hacourt;Port Hacourt;Ochomma Street, Off Ahoada Road, Elele Alimini, Rivers State;Nigeria;ELELE ALIMINI;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2130;EMT-2130;TBD;Port Hacourt;Port Hacourt;Opposite Civic center, Elele, Rivers State;Nigeria;ELELE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2127;EMT-2127;TBD;Port Hacourt;Port Hacourt;ATC Premises, granville's comp, Abonnema. Rivers State.;Nigeria;ABONNEMA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2128;EMT-2128;TBD;Port Hacourt;Port Hacourt;Beside NAOC Agip Training centre Ogba/Egbem/Ndoni LGA, Rivers State;Nigeria;EBOCHA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-0326;EMT-0326;TBD;Ibadan;Ibadan;Gbara Village Via Mosami Along Ikorodu Sagamu Exp. Ogun;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-0327;EMT-0327;TBD;Ilorin;Ilorin;Ladoke Akintola University, Technology College of Health Sciences, Isale Osun;Nigeria;Ilorin;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-0335;EMT-0335;0;Benin;Benin;Wellington Hotel. Warri. Delta State;Nigeria;Benin;5.57505;5.79233;;;;;Enabled
EMTS NG;EMT-2132;EMT-2132;TBD;Port Hacourt;Port Hacourt;Beside Churchof Jesus Christ, Along East/West road, Emohua, Rives State;Nigeria;EMOHUA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2134;EMT-2134;TBD;Calabar;Calabar;2, Chief M.L Nwidobie Villa KM 2, Kono Bori Road Kono Town Khana LGA Rivers;Nigeria;Calabar;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2135;EMT-2135;TBD;Calabar;Calabar;Piece of land along Bori-Kono road, Baen, Rivers State;Nigeria;KHANA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3158;EMT-3158;Accessible 24/7;Ibadan;Ibadan;Behind Redeem Police Station. Lagos-Ibadan Express way Mowe;Nigeria;Ibadan;6.8144;3.45492;;;;;Enabled
EMTS NG;EMT-3300;EMT-3300;Accessible 24/7;Ilorin;Ilorin;GT 39. Ekotedo Street behind. MOAP Filling Station. Ilesha. Osun State;Nigeria;Ilorin;7.608805556;4.753416667;;;;;Enabled
